"filename", "language", "JavaScript", "JSON", "Markdown", "HTML", "XML", "CSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\auth\Register.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 65, 3, 8, 76
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\fantasy\FantasyTemplateCreate.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 194, 26, 21, 241
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\fantasy\FantasyTemplateView.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 115, 2, 12, 129
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\fantasy\LeagueCreate.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 176, 6, 21, 203
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\fantasy\LeagueGet.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 69, 0, 6, 75
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\fantasy\LeagueParticipantGet.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 77, 0, 7, 84
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\fantasy\LeagueParticipate.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 437, 19, 41, 497
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\fantasy\Leagues.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 142, 8, 17, 167
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\fantasy\LeaguesList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 186, 8, 22, 216
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\playerStats\PlayerStats.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 1, 12
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\playerStats\PlayerStatsCreate.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 89, 4, 11, 104
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\playerStats\PlayerStatsDelete.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 5, 50
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\playerStats\PlayerStatsGet.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 65, 0, 7, 72
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\playerStats\PlayerStatsUpdate.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 104, 4, 9, 117
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\players\PlayerCreate.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 114, 3, 11, 128
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\players\PlayerDelete.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 5, 50
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\players\PlayerUpdate.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 82, 3, 9, 94
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\players\PlayersList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 133, 6, 13, 152
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\players\TeamPlayersGet.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 69, 1, 9, 79
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\players\TeamsList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\ratingAlgorithms\AlgorithmCreate.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 122, 4, 16, 142
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\ratingAlgorithms\AlgorithmDelete.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 5, 50
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\ratingAlgorithms\AlgorithmFullPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 143, 0, 11, 154
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\ratingAlgorithms\AlgorithmUpdate.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 132, 7, 15, 154
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\ratingAlgorithms\AlgorithmsList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 71, 0, 8, 79
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\statistics\StatisticCreate.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 80, 3, 9, 92
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\statistics\StatisticDelete.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 5, 49
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\statistics\StatisticUpdate.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 97, 3, 10, 110
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\statistics\Stats.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 235, 5, 22, 262
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\users\AlgorithmGet.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 205, 1, 17, 223
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\users\UserCreate.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 78, 3, 8, 89
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\users\UserDelete.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 5, 45
